Company,Stage,Position,Location,Date of Application,Posting URL,Notes,Rapporterat,First Response,Second Response,Third Response
Cure Media,Applied,Data Scientist,Stockholm,"May 23, 2023",https://career.curemedia.com/jobs/1094753-data-scientist,,Yes,,,
Data Force,Applied,Data Analyst,Stockholm,"May 23, 2023",https://dataforce.recruitee.com/o/swedish-language-data-analyst-stockholm,,Yes,,,
SBAB,Rejected,Data Analyst,Stockholm,"May 23, 2023",https://www.sbab.se/1/jobb/jobb.html?jobb=2844220,,No,Gick vidare med andra kandidater,,
Nordnet,Rejected,Data Scientist,Stockholm,"May 23, 2023",https://career.nordnetab.com/jobs/2804619-data-scientist,,No,,,
Marakanda,Rejected,Data Scientist,Stockholm,"May 23, 2023",https://www.adadigital.se/lediga-jobb/data-och-analytics/data-scientist-to-marakanda-in-stockholm/?src=linkedin_api,,No,Gick vidare med andra kandidater,,
QLIRO,Rejected,Credit Analyst,Stockholm,"May 23, 2023",https://career.qliro.com/jobs/2618637-credit-analyst,,No,,,
QLIRO,Applied,Analytics Engineer,Stockholm,"May 23, 2023",https://career.qliro.com/jobs/1386173-analytics-engineer,,Yes,,,
Haypp Group,Rejected,Data Engineer,Stockholm,"May 23, 2023",https://career.hayppgroup.com/jobs/2579277-data-engineer,,No,Gick vidare med andra kandidater,,
SEB,Applied,Junior Data Analyst,Stockholm,"May 23, 2023",https://sebgroup.com/sv/karriar/vilka-ar-vi/karriar-i-seb/hitta-ditt-nya-jobb/vara-lediga-tjanster/jobbannonser/junior-data-analyst-cpc-stockholm_3bbb63ef-e676-4518-9431-260ad8716bad,,Yes,,,
WiseIT,Rejected,Öppen Ansökan,Stockholm,"May 23, 2023",https://www.wiseit.se/yrkesguide/data-scientist/,,No,Kommer ringa 26/5 eller nästa vecka,"Hon kommer skicka vidare min ansökan till rätt avdelning, samt bad mig hålla utkik efter jobb på deras hemsida",
Columbus,Messaged recruiter,Öppen Ansökan,Stockholm,"May 23, 2023","Alexander Tonelli, Linkedin",,Yes,,,
Electrolux,Rejected,Öppen Ansökan,Stockholm,"May 23, 2023","Tharany Coetzee, Linkedin",,No,Håller utkik åt mig,,
